cohort_category,cohort_value,filters,cohort_size,elite_count,semi_elite_count,analysis,figure2_size,structure_validation,request_match,local_execution,result_validation,filter_match,cohort_size_match,semantic_result_check,noise_utility_check,status,error
Sport discipline,3x3 basketball,"{""sport"": ""3x3 basketball""}",35,4,31,figure2,80,True,True,True,True,True,True,True,True,PASS,
Sport discipline,3x3 basketball,"{""sport"": ""3x3 basketball""}",35,4,31,figure2,All,True,True,True,True,True,True,True,True,PASS,
Sport discipline,ice hockey,"{""sport"": ""ice hockey""}",55,8,47,table1,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,ice hockey,"{""sport"": ""ice hockey""}",55,8,47,table2,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,ice hockey,"{""sport"": ""ice hockey""}",55,8,47,figure1,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,ice hockey,"{""sport"": ""ice hockey""}",55,8,47,correlation,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,ice hockey,"{""sport"": ""ice hockey""}",55,8,47,variance_analysis,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,ice hockey,"{""sport"": ""ice hockey""}",55,8,47,figure2,20,True,True,True,True,True,True,True,True,PASS,
Sport discipline,ice hockey,"{""sport"": ""ice hockey""}",55,8,47,figure2,50,True,True,True,True,True,True,True,True,PASS,
Sport discipline,ice hockey,"{""sport"": ""ice hockey""}",55,8,47,figure2,80,True,True,True,True,True,True,True,True,PASS,
Sport discipline,ice hockey,"{""sport"": ""ice hockey""}",55,8,47,figure2,All,True,True,True,True,True,True,True,True,PASS,
Sport discipline,volleyball,"{""sport"": ""volleyball""}",100,10,90,table1,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,volleyball,"{""sport"": ""volleyball""}",100,10,90,table2,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,volleyball,"{""sport"": ""volleyball""}",100,10,90,figure1,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,volleyball,"{""sport"": ""volleyball""}",100,10,90,correlation,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,volleyball,"{""sport"": ""volleyball""}",100,10,90,variance_analysis,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,volleyball,"{""sport"": ""volleyball""}",100,10,90,figure2,20,True,True,True,True,True,True,True,True,PASS,
Sport discipline,volleyball,"{""sport"": ""volleyball""}",100,10,90,figure2,50,True,True,True,True,True,True,True,True,PASS,
Sport discipline,volleyball,"{""sport"": ""volleyball""}",100,10,90,figure2,80,True,True,True,True,True,True,True,True,PASS,
Sport discipline,volleyball,"{""sport"": ""volleyball""}",100,10,90,figure2,All,True,True,True,True,True,True,True,True,PASS,
Sport discipline,artistic gymnastics,"{""sport"": ""artistic gymnastics""}",17,1,16,table1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,ValueError: Table 1 logistic regression is not statistically applicable to the selected cohort because none of the four model specifications converged.
Sport discipline,artistic gymnastics,"{""sport"": ""artistic gymnastics""}",17,1,16,table2,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,artistic gymnastics,"{""sport"": ""artistic gymnastics""}",17,1,16,figure1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,Elite/semi-elite sample variance requires at least two athletes per group. | ValueError: Not enough elite or semi-elite athletes for variance comparison.
Sport discipline,artistic gymnastics,"{""sport"": ""artistic gymnastics""}",17,1,16,correlation,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,artistic gymnastics,"{""sport"": ""artistic gymnastics""}",17,1,16,variance_analysis,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,Elite/semi-elite sample variance requires at least two athletes per group. | ValueError: Variance analysis requires at least two elite and two semi-elite athletes in the selected cohort.
Sport discipline,artistic gymnastics,"{""sport"": ""artistic gymnastics""}",17,1,16,figure2,20,True,True,True,True,True,True,True,True,PASS,
Sport discipline,artistic gymnastics,"{""sport"": ""artistic gymnastics""}",17,1,16,figure2,50,True,True,True,True,True,True,True,True,PASS,
Sport discipline,artistic gymnastics,"{""sport"": ""artistic gymnastics""}",17,1,16,figure2,80,True,True,True,True,True,True,True,True,PASS,
Sport discipline,artistic gymnastics,"{""sport"": ""artistic gymnastics""}",17,1,16,figure2,All,True,True,True,True,True,True,True,True,PASS,
Sport discipline,trampoline gymnastics,"{""sport"": ""trampoline gymnastics""}",26,0,26,table1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,ValueError: Table 1 logistic regression is not statistically applicable to the selected cohort because both elite and semi-elite outcome classes are required.
Sport discipline,trampoline gymnastics,"{""sport"": ""trampoline gymnastics""}",26,0,26,table2,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,trampoline gymnastics,"{""sport"": ""trampoline gymnastics""}",26,0,26,figure1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,Elite/semi-elite sample variance requires at least two athletes per group. | ValueError: Not enough elite or semi-elite athletes for variance comparison.
Sport discipline,trampoline gymnastics,"{""sport"": ""trampoline gymnastics""}",26,0,26,correlation,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,trampoline gymnastics,"{""sport"": ""trampoline gymnastics""}",26,0,26,variance_analysis,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,Elite/semi-elite sample variance requires at least two athletes per group. | ValueError: Variance analysis requires at least two elite and two semi-elite athletes in the selected cohort.
Sport discipline,trampoline gymnastics,"{""sport"": ""trampoline gymnastics""}",26,0,26,figure2,20,True,True,True,True,True,True,True,True,PASS,
Sport discipline,trampoline gymnastics,"{""sport"": ""trampoline gymnastics""}",26,0,26,figure2,50,True,True,True,True,True,True,True,True,PASS,
Sport discipline,trampoline gymnastics,"{""sport"": ""trampoline gymnastics""}",26,0,26,figure2,80,True,True,True,True,True,True,True,True,PASS,
Sport discipline,trampoline gymnastics,"{""sport"": ""trampoline gymnastics""}",26,0,26,figure2,All,True,True,True,True,True,True,True,True,PASS,
Sport discipline,rhythmic gymnastics,"{""sport"": ""rhythmic gymnastics""}",26,1,25,table1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,ValueError: Table 1 logistic regression is not statistically applicable to the selected cohort because none of the four model specifications converged.
Sport discipline,rhythmic gymnastics,"{""sport"": ""rhythmic gymnastics""}",26,1,25,table2,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,rhythmic gymnastics,"{""sport"": ""rhythmic gymnastics""}",26,1,25,figure1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,Elite/semi-elite sample variance requires at least two athletes per group. | ValueError: Not enough elite or semi-elite athletes for variance comparison.
Sport discipline,rhythmic gymnastics,"{""sport"": ""rhythmic gymnastics""}",26,1,25,correlation,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,rhythmic gymnastics,"{""sport"": ""rhythmic gymnastics""}",26,1,25,variance_analysis,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,Elite/semi-elite sample variance requires at least two athletes per group. | ValueError: Variance analysis requires at least two elite and two semi-elite athletes in the selected cohort.
Sport discipline,rhythmic gymnastics,"{""sport"": ""rhythmic gymnastics""}",26,1,25,figure2,20,True,True,True,True,True,True,True,True,PASS,
Sport discipline,rhythmic gymnastics,"{""sport"": ""rhythmic gymnastics""}",26,1,25,figure2,50,True,True,True,True,True,True,True,True,PASS,
Sport discipline,rhythmic gymnastics,"{""sport"": ""rhythmic gymnastics""}",26,1,25,figure2,80,True,True,True,True,True,True,True,True,PASS,
Sport discipline,rhythmic gymnastics,"{""sport"": ""rhythmic gymnastics""}",26,1,25,figure2,All,True,True,True,True,True,True,True,True,PASS,
Sport discipline,table tennis,"{""sport"": ""table tennis""}",14,0,14,table1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,ValueError: Table 1 logistic regression is not statistically applicable to the selected cohort because both elite and semi-elite outcome classes are required.
Sport discipline,table tennis,"{""sport"": ""table tennis""}",14,0,14,table2,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,table tennis,"{""sport"": ""table tennis""}",14,0,14,figure1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,Elite/semi-elite sample variance requires at least two athletes per group. | ValueError: Not enough elite or semi-elite athletes for variance comparison.
Sport discipline,table tennis,"{""sport"": ""table tennis""}",14,0,14,correlation,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,table tennis,"{""sport"": ""table tennis""}",14,0,14,variance_analysis,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,Elite/semi-elite sample variance requires at least two athletes per group. | ValueError: Variance analysis requires at least two elite and two semi-elite athletes in the selected cohort.
Sport discipline,table tennis,"{""sport"": ""table tennis""}",14,0,14,figure2,20,True,True,True,True,True,True,True,True,PASS,
Sport discipline,table tennis,"{""sport"": ""table tennis""}",14,0,14,figure2,50,True,True,True,True,True,True,True,True,PASS,
Sport discipline,table tennis,"{""sport"": ""table tennis""}",14,0,14,figure2,80,True,True,True,True,True,True,True,True,PASS,
Sport discipline,table tennis,"{""sport"": ""table tennis""}",14,0,14,figure2,All,True,True,True,True,True,True,True,True,PASS,
Sport discipline,modern pentathlon,"{""sport"": ""modern pentathlon""}",27,1,26,table1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,ValueError: Table 1 logistic regression is not statistically applicable to the selected cohort because none of the four model specifications converged.
Sport discipline,modern pentathlon,"{""sport"": ""modern pentathlon""}",27,1,26,table2,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,modern pentathlon,"{""sport"": ""modern pentathlon""}",27,1,26,figure1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,Elite/semi-elite sample variance requires at least two athletes per group. | ValueError: Not enough elite or semi-elite athletes for variance comparison.
Sport discipline,modern pentathlon,"{""sport"": ""modern pentathlon""}",27,1,26,correlation,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,modern pentathlon,"{""sport"": ""modern pentathlon""}",27,1,26,variance_analysis,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,Elite/semi-elite sample variance requires at least two athletes per group. | ValueError: Variance analysis requires at least two elite and two semi-elite athletes in the selected cohort.
Sport discipline,modern pentathlon,"{""sport"": ""modern pentathlon""}",27,1,26,figure2,20,True,True,True,True,True,True,True,True,PASS,
Sport discipline,modern pentathlon,"{""sport"": ""modern pentathlon""}",27,1,26,figure2,50,True,True,True,True,True,True,True,True,PASS,
Sport discipline,modern pentathlon,"{""sport"": ""modern pentathlon""}",27,1,26,figure2,80,True,True,True,True,True,True,True,True,PASS,
Sport discipline,modern pentathlon,"{""sport"": ""modern pentathlon""}",27,1,26,figure2,All,True,True,True,True,True,True,True,True,PASS,
Sex,female,"{""sex"": ""female""}",149,13,136,table1,,True,True,True,True,True,True,True,True,PASS,
Sex,female,"{""sex"": ""female""}",149,13,136,table2,,True,True,True,True,True,True,True,True,PASS,
Sex,female,"{""sex"": ""female""}",149,13,136,figure1,,True,True,True,True,True,True,True,True,PASS,
Sex,female,"{""sex"": ""female""}",149,13,136,correlation,,True,True,True,True,True,True,True,True,PASS,
Sex,female,"{""sex"": ""female""}",149,13,136,variance_analysis,,True,True,True,True,True,True,True,True,PASS,
Sex,female,"{""sex"": ""female""}",149,13,136,figure2,20,True,True,True,True,True,True,True,True,PASS,
Sex,female,"{""sex"": ""female""}",149,13,136,figure2,50,True,True,True,True,True,True,True,True,PASS,
Sex,female,"{""sex"": ""female""}",149,13,136,figure2,80,True,True,True,True,True,True,True,True,PASS,
Sex,female,"{""sex"": ""female""}",149,13,136,figure2,All,True,True,True,True,True,True,True,True,PASS,
Sex,male,"{""sex"": ""male""}",151,12,139,table1,,True,True,True,True,True,True,True,True,PASS,
Sex,male,"{""sex"": ""male""}",151,12,139,table2,,True,True,True,True,True,True,True,True,PASS,
Sex,male,"{""sex"": ""male""}",151,12,139,figure1,,True,True,True,True,True,True,True,True,PASS,
Sex,male,"{""sex"": ""male""}",151,12,139,correlation,,True,True,True,True,True,True,True,True,PASS,
Sex,male,"{""sex"": ""male""}",151,12,139,variance_analysis,,True,True,True,True,True,True,True,True,PASS,
Sex,male,"{""sex"": ""male""}",151,12,139,figure2,20,True,True,True,True,True,True,True,True,PASS,
Sex,male,"{""sex"": ""male""}",151,12,139,figure2,50,True,True,True,True,True,True,True,True,PASS,
Sex,male,"{""sex"": ""male""}",151,12,139,figure2,80,True,True,True,True,True,True,True,True,PASS,
Sex,male,"{""sex"": ""male""}",151,12,139,figure2,All,True,True,True,True,True,True,True,True,PASS,
National team level,Junior,"{""national_team"": ""Junior""}",198,2,196,table1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,ValueError: Table 1 logistic regression is not statistically applicable to the selected cohort because none of the four model specifications converged.
National team level,Junior,"{""national_team"": ""Junior""}",198,2,196,table2,,True,True,True,True,True,True,True,True,PASS,
National team level,Junior,"{""national_team"": ""Junior""}",198,2,196,figure1,,True,True,True,True,True,True,True,True,PASS,
National team level,Junior,"{""national_team"": ""Junior""}",198,2,196,correlation,,True,True,True,True,True,True,True,True,PASS,
National team level,Junior,"{""national_team"": ""Junior""}",198,2,196,variance_analysis,,True,True,True,True,True,True,True,True,PASS,
National team level,Junior,"{""national_team"": ""Junior""}",198,2,196,figure2,20,True,True,True,True,True,True,True,True,PASS,
National team level,Junior,"{""national_team"": ""Junior""}",198,2,196,figure2,50,True,True,True,True,True,True,True,True,PASS,
National team level,Junior,"{""national_team"": ""Junior""}",198,2,196,figure2,80,True,True,True,True,True,True,True,True,PASS,
National team level,Junior,"{""national_team"": ""Junior""}",198,2,196,figure2,All,True,True,True,True,True,True,True,True,PASS,
National team level,Senior,"{""national_team"": ""Senior""}",102,23,79,table1,,True,True,True,True,True,True,True,True,PASS,
National team level,Senior,"{""national_team"": ""Senior""}",102,23,79,table2,,True,True,True,True,True,True,True,True,PASS,
National team level,Senior,"{""national_team"": ""Senior""}",102,23,79,figure1,,True,True,True,True,True,True,True,True,PASS,
National team level,Senior,"{""national_team"": ""Senior""}",102,23,79,correlation,,True,True,True,True,True,True,True,True,PASS,
National team level,Senior,"{""national_team"": ""Senior""}",102,23,79,variance_analysis,,True,True,True,True,True,True,True,True,PASS,
National team level,Senior,"{""national_team"": ""Senior""}",102,23,79,figure2,20,True,True,True,True,True,True,True,True,PASS,
National team level,Senior,"{""national_team"": ""Senior""}",102,23,79,figure2,50,True,True,True,True,True,True,True,True,PASS,
National team level,Senior,"{""national_team"": ""Senior""}",102,23,79,figure2,80,True,True,True,True,True,True,True,True,PASS,
National team level,Senior,"{""national_team"": ""Senior""}",102,23,79,figure2,All,True,True,True,True,True,True,True,True,PASS,
Age group,under_20,"{""age_group"": ""under_20""}",215,4,211,table1,,True,True,True,True,True,True,True,True,PASS,
Age group,under_20,"{""age_group"": ""under_20""}",215,4,211,table2,,True,True,True,True,True,True,True,True,PASS,
Age group,under_20,"{""age_group"": ""under_20""}",215,4,211,figure1,,True,True,True,True,True,True,True,True,PASS,
Age group,under_20,"{""age_group"": ""under_20""}",215,4,211,correlation,,True,True,True,True,True,True,True,True,PASS,
Age group,under_20,"{""age_group"": ""under_20""}",215,4,211,variance_analysis,,True,True,True,True,True,True,True,True,PASS,
Age group,under_20,"{""age_group"": ""under_20""}",215,4,211,figure2,20,True,True,True,True,True,True,True,True,PASS,
Age group,under_20,"{""age_group"": ""under_20""}",215,4,211,figure2,50,True,True,True,True,True,True,True,True,PASS,
Age group,under_20,"{""age_group"": ""under_20""}",215,4,211,figure2,80,True,True,True,True,True,True,True,True,PASS,
Age group,under_20,"{""age_group"": ""under_20""}",215,4,211,figure2,All,True,True,True,True,True,True,True,True,PASS,
Age group,20_and_above,"{""age_group"": ""20_and_above""}",85,21,64,table1,,True,True,True,True,True,True,True,True,PASS,
Age group,20_and_above,"{""age_group"": ""20_and_above""}",85,21,64,table2,,True,True,True,True,True,True,True,True,PASS,
Age group,20_and_above,"{""age_group"": ""20_and_above""}",85,21,64,figure1,,True,True,True,True,True,True,True,True,PASS,
Age group,20_and_above,"{""age_group"": ""20_and_above""}",85,21,64,correlation,,True,True,True,True,True,True,True,True,PASS,
Age group,20_and_above,"{""age_group"": ""20_and_above""}",85,21,64,variance_analysis,,True,True,True,True,True,True,True,True,PASS,
Age group,20_and_above,"{""age_group"": ""20_and_above""}",85,21,64,figure2,20,True,True,True,True,True,True,True,True,PASS,
Age group,20_and_above,"{""age_group"": ""20_and_above""}",85,21,64,figure2,50,True,True,True,True,True,True,True,True,PASS,
Age group,20_and_above,"{""age_group"": ""20_and_above""}",85,21,64,figure2,80,True,True,True,True,True,True,True,True,PASS,
Age group,20_and_above,"{""age_group"": ""20_and_above""}",85,21,64,figure2,All,True,True,True,True,True,True,True,True,PASS,
